MC,,1.0,Cual es el resultado de ejecutar type(42) en Python?,2,<class 'float'>,<class 'int'>,<class 'str'>,<class 'number'>
MC,,1.0,"Si ejecuto nombre = ""Barcelona"" y luego print(len(nombre)), que se imprime?",2,8,9,10,Error
MC,,1.0,Cual de estos nombres de variable cumple las reglas de Python y es legible?,3,2equipo,equipo-favorito,equipo_favorito,equipo.favorito
MC,,1.0,"Si goles = 25 y partidos = 10, cual es el resultado de goles/partidos?",2,2.0,2.5,3.0,2
MC,,1.0,Que simbolo se usa para comentarios en Python?,3,//,/* */,#,--
MC,,1.0,Cual es la sintaxis correcta para una estructura condicional en Python?,2,if (condicion) then:,if condicion:,if [condicion]:,if condicion then:
MC,,1.0,"En el codigo if goles > 20: print(""Goleador""), cuando se ejecuta el print?",3,Siempre,Cuando goles es exactamente 20,Cuando goles es mayor que 20,Cuando goles es menor que 20
MC,,1.0,Cual es la diferencia entre for y while?,2,No hay diferencia,"for para repeticiones conocidas, while para condiciones",while es mas rapido que for,for solo funciona con numeros
MC,,1.0,Que hace range(5) en Python?,3,Genera numeros del 1 al 5,Genera numeros del 0 al 5,Genera numeros del 0 al 4,Genera el numero 5
MC,,1.0,Que operador logico devuelve True solo si ambas condiciones son True?,3,or,not,and,xor
MC,,1.0,Como se define una funcion en Python que calcula el promedio de goles?,2,function promedio_goles():,def promedio_goles():,promedio_goles() def:,create promedio_goles():
MC,,1.0,Que hace la palabra clave return en una funcion?,2,Imprime un valor,Devuelve un valor al codigo que llamo la funcion,Termina el programa,Define una variable
MC,,1.0,"En la funcion def calcular_puntos(victorias, empates):, cuantos parametros recibe?",2,1,2,3,0
MC,,1.0,Como se importa un modulo llamado math en Python?,2,include math,import math,using math,require math
MC,,1.0,"Si una funcion no tiene return, que devuelve?",3,0,Error,None,El ultimo valor calculado
MC,,1.0,Que instruccion necesitas para usar pandas en tu codigo?,2,import pandas,import pandas as pd,from pandas import pd,using pandas
MC,,1.0,Como se llama la estructura principal de datos en pandas?,3,Array,List,DataFrame,Table
MC,,1.0,Que funcion usas para leer un archivo CSV en pandas?,3,pd.open_csv(),pd.load_csv(),pd.read_csv(),pd.import_csv()
MC,,1.0,"Si tienes un DataFrame df, como ves las primeras 5 filas?",3,df.first(5),df.top(5),df.head(5),df.show(5)
MC,,1.0,Que comando usas para ver informacion sobre tipos de datos y valores nulos en un DataFrame?,1,df.info(),df.types(),df.describe(),df.summary()
MC,,1.0,Cual es la forma comun de importar matplotlib para crear graficos?,2,import matplotlib as plt,import matplotlib.pyplot as plt,import pyplot as plt,from matplotlib import plt
MC,,1.0,Que funcion usas para mostrar un grafico en matplotlib?,2,plt.display(),plt.show(),plt.plot(),plt.draw()
MC,,1.0,Como agregas un titulo a un grafico en matplotlib?,2,plt.name('titulo'),plt.title('titulo'),plt.header('titulo'),plt.label('titulo')
MC,,1.0,Que tipo de grafico es mejor para mostrar la evolucion de goles por mes?,2,Grafico de barras,Grafico de lineas,Grafico circular,Histograma
MC,,1.0,Que funcion usas para crear un grafico de barras en matplotlib?,2,plt.line(),plt.bar(),plt.scatter(),plt.hist()
