MC,,1.0,Cual es el resultado de ejecutar type(42) en Python?,2,<class 'float'>,<class 'int'>,<class 'str'>,<class 'number'>
MC,,1.0,"Si ejecuto nombre = ""Barcelona"" y luego print(len(nombre)), que se imprime?",2,8,9,10,Error
MC,,1.0,Cual de estos nombres de variable cumple las reglas de Python y es legible?,3,2equipo,equipo-favorito,equipo_favorito,equipo.favorito
MC,,1.0,"Si goles = 25 y partidos = 10, cual es el resultado de goles/partidos?",2,2.0,2.5,3.0,2
MC,,1.0,"Que tipo de dato es el resultado de ""Messi"" + "" "" + ""Barcelona""?",3,int,float,str,list
MC,,1.0,Cual es la diferencia principal entre // y / en Python?,2,No hay diferencia,"// es division entera, / es division decimal",// es mas rapido que /,// solo funciona con numeros positivos
MC,,1.0,"Si altura = 1.75, que tipo de dato es?",3,int,str,float,bool
MC,,1.0,Que valor tiene la variable es_activo despues de ejecutar es_activo = True?,3,"""True""",1,True,verdadero
MC,,1.0,Cual es el resultado de 5 * 3 + 2?,2,25,17,21,15
MC,,1.0,Que simbolo se usa para comentarios en Python?,3,//,/* */,#,--
MC,,1.0,Cual es la sintaxis correcta para una estructura condicional en Python?,2,if (condicion) then:,if condicion:,if [condicion]:,if condicion then:
MC,,1.0,"En el codigo if goles > 20: print(""Goleador""), cuando se ejecuta el print?",3,Siempre,Cuando goles es exactamente 20,Cuando goles es mayor que 20,Cuando goles es menor que 20
MC,,1.0,Cual es la diferencia entre for y while?,2,No hay diferencia,"for para repeticiones conocidas, while para condiciones",while es mas rapido que for,for solo funciona con numeros
MC,,1.0,Que hace range(5) en Python?,3,Genera numeros del 1 al 5,Genera numeros del 0 al 5,Genera numeros del 0 al 4,Genera el numero 5
MC,,1.0,"En el bucle for jugador in ['Messi', 'Ronaldo', 'Neymar']:, cuantas iteraciones habra?",2,2,3,4,Infinitas
MC,,1.0,Que operador logico devuelve True solo si ambas condiciones son True?,3,or,not,and,xor
MC,,1.0,"Si edad = 25, que evalua edad >= 18 and edad < 30?",1,True,False,None,Error
MC,,1.0,Cual es la estructura correcta de un bucle while?,2,while (condicion) do:,while condicion:,while [condicion]:,repeat while condicion:
MC,,1.0,Que hace enumerate() cuando se usa con una lista?,3,Ordena la lista,Cuenta los elementos,Devuelve indice y valor de cada elemento,Elimina duplicados
MC,,1.0,"En Python, que significa la indentacion (espacios al inicio)?",2,"Es solo estilo, no afecta la funcionalidad",Define que codigo pertenece a cada bloque,Hace el codigo mas lento,Es obligatoria solo en funciones
MC,,1.0,Como se define una funcion en Python que calcula el promedio de goles?,2,function promedio_goles():,def promedio_goles():,promedio_goles() def:,create promedio_goles():
MC,,1.0,Que hace la palabra clave return en una funcion?,2,Imprime un valor,Devuelve un valor al codigo que llamo la funcion,Termina el programa,Define una variable
MC,,1.0,"En la funcion def calcular_puntos(victorias, empates):, cuantos parametros recibe?",2,1,2,3,0
MC,,1.0,Cual es la diferencia entre parametros y argumentos en funciones?,2,Son lo mismo,"Parametros son en la definicion, argumentos al llamar la funcion","Argumentos son en la definicion, parametros al llamar la funcion",Los parametros son opcionales
MC,,1.0,Como se importa un modulo llamado math en Python?,2,include math,import math,using math,require math
MC,,1.0,Que ventaja principal tienen las funciones en programacion?,2,Hacen el codigo mas largo,Permiten reutilizar codigo y organizarlo mejor,Solo sirven para calculos matematicos,Son mas lentas que escribir codigo directo
MC,,1.0,"Si una funcion no tiene return, que devuelve?",3,0,Error,None,El ultimo valor calculado
MC,,1.0,Como se llama a una funcion llamada calcular_edad()?,3,call calcular_edad(),execute calcular_edad(),calcular_edad(),run calcular_edad()
